2023-03-14 17:48:39.794 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985231757164001 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:40.043 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985225200653076 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:40.286 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985229969024658 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:40.531 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985211491584778 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:40.763 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985211491584778 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:41.000 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218644142151 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:41.260 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985211491584778 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:41.523 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985209703445435 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:41.762 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985225200653076 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:42.013 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985225200653076 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:42.267 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985211491584778 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:42.516 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:42.757 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998521625995636 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:42.997 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998370349407196 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:43.239 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983710050582886 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:43.492 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983710050582886 位置 (238, 890) 缩放类型 none 缩放比例 1
